id,title,original_title,original_language,language_name,release_date,release_year,release_month,decade,genres,primary_genre,num_genres,popularity,vote_average,vote_count,rating_tier,popularity_tier,budget,revenue,has_budget_data,has_revenue_data,profit,roi,runtime,primary_country,production_countries,num_spoken_languages,production_companies,overview_length,gdp_per_capita_usd,population,popularity_norm,vote_average_norm,vote_count_norm,budget_norm,revenue_norm,runtime_norm
12531,The Apartment,L'Appartement,fr,French,1996-07-27,1996,7,1990,Mystery|Drama|Romance,Mystery,3,11.3381,6.819,254,Good,High,,,False,False,,,116.0,FR,FR|ES|IT,3,IMA Productions|Cecchi Gori Group Tiger Cinematografica|La Sept Cinéma|Mate Producciones S.A.,38,26757.6351494145,59754504,0.05012962593658301,0.5785106382978723,0.004962899890524267,,,0.43673469387755104
9072,Little Man,Little Man,en,English,2006-08-31,2006,8,2000,Comedy|Crime,Comedy,2,11.3352,5.942,1956,Mixed,High,64000000.0,104003322.0,True,True,40003322.0,0.62505190625,98.0,US,US,1,Wayans Bros. Entertainment|Revolution Studios,101,46301.9876485519,298379912,0.05008831657217744,0.3919148936170213,0.04636905485950614,0.09714620468429298,0.035572425655699964,0.363265306122449
13156,Secondhand Lions,Secondhand Lions,en,English,2003-09-19,2003,9,2000,Family|Comedy|Drama,Family,3,11.3291,7.237,860,Good,High,,48260279.0,False,True,,,111.0,US,US,1,New Line Cinema|David Kirschner Productions,30,39490.3023903176,290107933,0.050001424460841576,0.6674468085106382,0.01970563191825812,,0.01650654056405662,0.4163265306122449
951491,Saw X,Saw X,en,English,2023-09-27,2023,9,2020,Horror|Mystery,Horror,2,11.3277,7.151,2469,Good,High,13000000.0,125319714.0,True,True,112319714.0,8.639978,118.0,US,US,2,Twisted Pictures|Serendipity Productions|Galaxy 8 Entertainment,78,82586.7847707894,336755052,0.04998148200905957,0.6491489361702126,0.05884928840773628,0.019732715173363162,0.0428633064287576,0.4448979591836735
363676,Sully,Sully,en,English,2016-09-07,2016,9,2010,Drama|History,Drama,2,11.3265,7.205,7877,Good,High,60000000.0,240800000.0,True,True,180800000.0,3.013333333333333,96.0,US,US,1,Warner Bros. Pictures|Malpaso Productions|RatPac Entertainment|Flashlight Films|The Kennedy/Marshall Company|Village Roadshow Pictures,64,57976.628204291,324353340,0.0499643884789607,0.6606382978723404,0.190414791387909,0.09107455844814162,0.08236121943695325,0.3551020408163265
9804,Waterworld,Waterworld,en,English,1995-07-28,1995,7,1990,Adventure|Action|Science Fiction,Adventure,3,11.3224,6.238,4223,Mixed,High,175000000.0,264218220.0,True,True,89218220.0,0.5098184,135.0,US,US,1,Gordon Company|Davis Entertainment|Universal Pictures|Licht/Mueller Film Corporation,65,28690.8757013347,266278000,0.04990598558445628,0.4548936170212767,0.10152049628998905,0.2656343877374932,0.09037099191332888,0.5142857142857142
204082,Homefront,Homefront,en,English,2013-11-12,2013,11,2010,Action|Thriller,Action,2,11.3223,6.951,3956,Good,High,22000000.0,51695362.0,True,True,29695362.0,1.3497891818181817,100.0,US,US,1,Open Road Films|Millennium Media|Universal Pictures,32,53297.3862901595,316726282,0.049904561123614716,0.6065957446808509,0.09502493613915582,0.03339391920470372,0.017681447677725632,0.37142857142857144
348350,Solo: A Star Wars Story,Solo: A Star Wars Story,en,English,2018-05-15,2018,5,2010,Science Fiction|Adventure|Action,Science Fiction,3,11.3145,6.552,9500,Good,High,250000000.0,392952373.0,True,True,142952373.0,0.571809492,135.0,US,US,1,Lucasfilm Ltd.,29,62875.6661382728,328529577,0.049793453177972145,0.5217021276595744,0.22989903904634473,0.3794777546653312,0.13440214694855065,0.5142857142857142
46738,Incendies,Incendies,fr,French,2010-09-17,2010,9,2010,Drama|War|Mystery,Drama,3,11.2953,8.1,3460,Excellent,High,6800000.0,6788659.0,True,True,-11341.0,-0.0016677941176470588,131.0,CA,CA|FR,3,TS Productions|Phi Group|micro_scope,50,47560.8378831258,34005902,0.0495199566963904,0.8510638297872338,0.0829582775818027,0.010321663507328556,0.0023219338592468794,0.49795918367346936
395991,Only the Brave,Only the Brave,en,English,2017-09-22,2017,9,2010,Drama|History,Drama,2,11.2943,7.484,1947,Good,High,38000000.0,25754775.0,True,True,-12245225.0,-0.32224276315789474,133.0,US,US,1,di Bonaventura Pictures|Black Label Media|Condé Nast Entertainment,14,60047.7190728307,326608609,0.0495057120879747,0.7199999999999999,0.04615010339374772,0.05768050414930915,0.00880894584907991,0.5061224489795918
